image_name,cucumber,chicken,shrimp,brocolli,bean,salmon,pork,rice,pumpkin,egg_dish,nut,carrot,king_oyster,vegetable,winter_melon,mango,avocado,baby_corn,beef,sprout,eggplant,mushroom,potato,brocoli,corn,toast,onion,cabbage,egg,green_pepper,green_bean,tofu,fish,tomato,lemon,yam,high,calories,protein,fat,carbs,GMM
711松阪豬花椰菜減醣飯,0.0,0.0,0.0,0.0,0.0,0.0,0.21473513090135657,0.18141546423009605,0.0,0.25031123238838127,0.0,0.14356311700959654,0.0,0.0,0.0,0.0,0.0,0.024392120652508464,0.0,0.0,0.0,0.0,0.0,0.14629156847342237,0.0,0.0,0.0,0.03929136634463876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,7.8600060351520336,4.2953681787277835,2.3198573728770735,3.969398966232588
味噌松阪豬,0.07634988515940806,0.0,0.0,0.0,0.0,0.0,0.40816357506866857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08253669505201572,0.0,0.0,0.0,0.0,0.0,0.0,0.13965532101970424,0.0,0.0,0.0,0.13088981537145525,0.07395658228760725,0.0,0.0,0.0,0.0,0.0,0.08844812604114095,0.40816357506866857,654.0,11.89723943490948,6.584867468481855,7.409171174550653,5.792579661904371
泰式烤雞腿,0.0,0.6301915522124433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09034118017277258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02611688034838749,0.0,0.0,0.05432895818741054,0.05959943559602481,0.0,0.06071809239577306,0.0,0.0,0.0,0.0,0.07870390108718824,0.6301915522124433,743.0,20.380181299550298,2.632508044786876,3.6681438621067697,4.808052690162483
牛肉餐02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05918569256809164,0.0,0.0,0.0,0.0,0.3384743197730336,0.0,0.0,0.08630744110100304,0.0,0.05674964177413443,0.0768884277245562,0.0,0.0,0.17898193760262726,0.08333017336178457,0.12008236609476927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,10.212903830000426,5.659757245240221,3.79225450755578,4.906183741263188
里肌豬餐01,0.0,0.0,0.0,0.0,0.0,0.0,0.2680365081978782,0.0,0.0,0.0,0.0,0.0,0.0,0.16106615542643865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0705974140026503,0.0,0.1117083421545796,0.0996095128319729,0.0,0.0,0.11482714277873178,0.08056934283675597,0.0935855817709926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,8.119400860953636,4.342374914727953,3.9340213905420556,4.489609355320281
里肌豬餐02,0.0,0.0,0.0,0.0,0.0,0.0,0.34125544786313666,0.0,0.0,0.0,0.0,0.0,0.0,0.12302868665842712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060009106875691144,0.0,0.04480843036492552,0.07280426722175243,0.0,0.0,0.15581994405776362,0.07952904442854355,0.12274507252975997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,9.864907044818839,5.333023222533013,3.680347102062057,4.793237047974198
里肌豬餐03,0.0,0.0,0.0,0.0,0.0,0.0,0.45806489015462115,0.0,0.0,0.0,0.0,0.0,0.0,0.0457344037389328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10705976700423664,0.09303273263445501,0.0,0.0,0.09370889958395545,0.0919391060900456,0.0,0.0,0.0,0.0,0.11046020079375336,0.0,0.0,0.0,459.0,12.577235062011956,7.020279642267309,2.9453410156874265,5.061764001785985
里肌豬餐05,0.0,0.0,0.0,0.0,0.0,0.0,0.39543727577071375,0.0,0.0,0.0,0.0,0.0,0.0,0.1331635334831429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13777070670368396,0.09125448458572481,0.1748609205174427,0.0,0.0,0.0,0.0,0.0,0.06751307893929186,0.0,459.0,11.004368700854762,6.061211199734718,4.125332044547767,5.1131309954466095
雞胸餐01,0.0,0.3677513555970221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05071701549629574,0.0,0.17652651461242777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09943910756753895,0.0,0.0,0.12872703995679077,0.0912216871433901,0.0,0.0,0.0,0.0,0.0,0.0,0.08561727962653448,0.0,400.5,12.79371410128363,1.9485707314661114,6.018822330336814,4.561155780251545
雞腿餐02,0.0,0.44140809761843636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06980503496081067,0.0,0.05401634021474848,0.07358110455019104,0.0,0.0,0.18116676986272406,0.07498980624310977,0.06769017019798541,0.0,0.0,0.0,0.0373426763519942,0.0,0.0,0.0,493.7,14.91586897624477,2.1123802648866605,3.328534001842427,4.235136624798419
